Timestamp(ms),Output,Target,Tof
25401.249647140503,-32.70399999999998,150,169.2
25504.89377975464,-40.02833333333333,150,173.5
25607.740879058838,-44.456999999999994,150,176.1
25711.523294448853,-49.22633333333334,150,178.9
25815.31858444214,-49.39666666666666,150,179.0
25918.30801963806,-48.544999999999995,150,178.5
26122.577667236328,-45.64933333333335,150,176.8
26226.287364959717,-36.62166666666666,150,171.5
26330.295085906982,-31.68199999999999,150,168.6
26433.257818222046,-26.231333333333342,150,165.4
26536.425828933716,-19.758666666666656,150,161.6
26639.528274536133,-13.967333333333313,150,158.2
26742.452144622803,-9.368333333333332,150,155.5
26845.61824798584,-4.08800000000001,150,152.4
26949.637413024902,-1.7033333333333334,150,151.0
27053.264617919922,-0.6813333333333429,150,150.4
27156.352519989014,-0.17033333333332365,150,150.1
27259.557485580444,-1.192333333333314,150,150.7
27363.33417892456,-1.873666666666657,150,151.1
27466.6006565094,-3.4066666666666667,150,152.0
27569.703102111816,-5.280333333333323,150,153.1
27672.550439834595,-7.494666666666676,150,154.4
27775.630712509155,-9.19800000000001,150,155.4
27879.522562026978,-9.368333333333332,150,155.5
27982.540130615234,-10.390333333333324,150,156.1
28085.9956741333,-11.071666666666665,150,156.5
28188.80867958069,-12.093666666666657,150,157.1
28291.895389556885,-11.24199999999999,150,156.6
28395.620584487915,-10.219999999999999,150,156.0
28499.157190322876,-9.538666666666657,150,155.6
28602.964401245117,-9.368333333333332,150,155.5
28706.267595291138,-8.857333333333314,150,155.2
28809.300899505615,-8.17600000000002,150,154.8
28912.185430526733,-8.346333333333343,150,154.9
29015.876531600952,-7.835333333333324,150,154.6
29119.100093841553,-7.15399999999998,150,154.2
29222.119092941284,-7.324333333333352,150,154.3
29325.92725753784,-7.15399999999998,150,154.2
29429.375410079956,-6.9836666666666565,150,154.1
29532.474279403687,-7.324333333333352,150,154.3
29635.4877948761,-6.4726666666666866,150,153.8
29738.397359848022,-7.15399999999998,150,154.2
29841.626167297363,-7.494666666666676,150,154.4
29945.68681716919,-7.15399999999998,150,154.2
30048.68769645691,-7.324333333333352,150,154.3
30152.241230010986,-6.8133333333333335,150,154.0
30255.53607940674,-6.64300000000001,150,153.9
30358.641386032104,-6.4726666666666866,150,153.8
30461.416006088257,-5.280333333333323,150,153.1
30565.417289733887,-5.109999999999999,150,153.0
30669.4176197052,-5.621000000000019,150,153.3
30772.568464279175,-4.598999999999981,150,152.7
30875.341653823853,-4.7693333333333525,150,152.8
30978.503227233887,-4.7693333333333525,150,152.8
31082.31544494629,-3.57699999999999,150,152.1
31185.982942581177,-4.428666666666657,150,152.6
31289.39914703369,-4.939666666666676,150,152.9
31393.267154693604,-3.917666666666686,150,152.3
31496.4542388916,-4.7693333333333525,150,152.8
31600.35467147827,-4.7693333333333525,150,152.8
31703.365325927734,-5.109999999999999,150,153.0
